,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Top Gun: Maverick,2022,8.7,78.0,80276,,130
1,Everything Everywhere All at Once,2022,8.4,81.0,90843,,139
2,The Batman,2022,7.9,72.0,494924,,176
3,Goodfellas,1990,8.7,90.0,1119931,46.84,145
4,RRR,2022,8.2,87.0,71800,,187
5,Spider-Man: No Way Home,2021,8.3,71.0,644948,,148
6,The Godfather,1972,9.2,100.0,1788753,134.97,175
7,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63.0,1091744,305.41,143
8,Dune,2021,8.1,74.0,574131,,155
9,Jurassic Park,1993,8.2,68.0,948617,402.45,127
10,Blade Runner 2049,2017,8.0,81.0,542761,92.05,164
11,Once Upon a Time... In Hollywood,2019,7.6,83.0,690758,142.5,161
12,The Gentlemen,2019,7.8,51.0,318814,,113
13,Avatar,2009,7.8,83.0,1202973,760.51,162
14,Avengers: Endgame,2019,8.4,78.0,1058381,858.37,181
15,The Shawshank Redemption,1994,9.3,81.0,2593460,28.34,142
16,K.G.F: Chapter 2,2022,8.7,,102064,,168
17,American Psycho,2000,7.6,64.0,573097,15.07,102
18,The Goonies,1985,7.7,62.0,265878,61.5,114
19,Star Wars,1977,8.6,90.0,1325937,322.74,121
20,Mission: Impossible - Fallout,2018,7.7,86.0,322434,220.16,147
21,The Dark Knight,2008,9.0,84.0,2564380,534.86,152
22,The Wolf of Wall Street,2013,8.2,75.0,1345563,116.9,180
23,CODA,2021,8.0,74.0,110968,,111
24,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68.0,767006,380.26,140
25,The Worst Person in the World,2021,7.9,90.0,44949,,128
26,Thor: Ragnarok,2017,7.9,74.0,702630,315.06,130
27,Titanic,1997,7.9,75.0,1136834,659.33,194
28,Zack Snyder's Justice League,2021,8.0,54.0,379260,,242
29,Interstellar,2014,8.6,74.0,1736100,188.02,169
30,Harry Potter and the Sorcerer's Stone,2001,7.6,65.0,754215,317.58,152
31,Zombieland,2009,7.6,73.0,562990,75.59,88
32,Tombstone,1993,7.8,50.0,144857,56.51,130
33,Ghostbusters,1984,7.8,71.0,405472,238.63,105
34,Pulp Fiction,1994,8.9,94.0,1988511,107.93,154
35,Avengers: Infinity War,2018,8.4,68.0,1019442,678.82,149
36,Inception,2010,8.8,74.0,2275656,292.58,148
37,The Departed,2006,8.5,85.0,1289117,132.38,151
38,Forrest Gump,1994,8.8,82.0,2002211,330.25,142
39,Knives Out,2019,7.9,82.0,592233,165.36,130
40,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1802864,315.54,178
41,The Fifth Element,1997,7.6,52.0,465128,63.54,126
42,Fight Club,1999,8.8,66.0,2041937,37.03,139
43,Parasite,2019,8.5,96.0,747443,53.37,132
44,Whiplash,2014,8.5,88.0,811802,13.09,106
45,Ex Machina,2014,7.7,78.0,529206,25.44,108
46,Rogue One: A Star Wars Story,2016,7.8,65.0,608222,532.18,133
47,Mad Max: Fury Road,2015,8.1,90.0,971839,154.06,120
48,Joker,2019,8.4,59.0,1197758,335.45,122
49,Requiem for a Dream,2000,8.3,68.0,822679,3.64,102
50,About Time,2013,7.8,55.0,338638,15.32,123
51,Heat,1995,8.3,76.0,635540,67.44,170
52,The Godfather: Part II,1974,9.0,90.0,1234031,57.3,202
53,Se7en,1995,8.6,65.0,1591640,100.13,127
